key,true_thetas,learning_rate,epsilon,N_explain,num_ones_train,num_zeros_train,num_ones_test,num_zeros_test,model_type,num_epochs,correct_preds,MLP accuracy,X_explain_shape,Recourse_estimated_in_True_SCM,Recourse_in_True_SCM,accuracy_preds,accuracy_true,accuracy_comparison_tot,cost_mean,cost_mean_estimated,cost_mean_baseline,accuracy_preds_prior
06e1e854-734f-4b16-a6a0-ae220b134ab3,"[0, 0, 0]",0.75,0.0,500,388,412,98,102,MLP,100,199,0.995,"(103, 3)",61,98,0.5922330097087378,0.9514563106796117,0.5825242718446602,1.1478889107704162,1.2544982920090357,1.7159942448139192,0.912621359223301
ae35a9c2-1ae6-426c-9c5d-e43835703fc6,"[0, 0, 0]",0.5,0.0,500,388,412,98,102,MLP,100,199,0.995,"(103, 3)",62,98,0.6019417475728155,0.9514563106796117,0.5825242718446602,1.0920025502641997,1.2381343682607016,1.789908121029536,0.8155339805825242
e41ff7d9-4020-45f6-b1cd-956ac6b365b6,"[0, 0, 0]",0.25,0.0,500,388,412,98,102,MLP,100,199,0.995,"(103, 3)",65,98,0.6310679611650486,0.9514563106796117,0.5436893203883495,0.9789248577186039,1.1683560255914927,1.685360605695418,0.7572815533980582
67a88ee7-3963-4e5f-abb1-672c07beeecd,"[0, 0, 0]",0.1,0.0,500,388,412,98,102,MLP,100,199,0.995,"(103, 3)",62,96,0.6019417475728155,0.9320388349514563,0.44660194174757284,0.8362331529674323,1.092011212978674,1.6175763611884222,0.6504854368932039
c317365e-360e-471c-b51e-a432b852c8d3,"[0, 0, 0]",0.01,0.0,500,388,412,98,102,MLP,100,199,0.995,"(103, 3)",2,38,0.019417475728155338,0.36893203883495146,0.019417475728155338,0.022360966075211763,0.0416831118054688,0.058388200122863054,0.04854368932038835
c60eece8-70ad-4059-8413-af2ba8f9f8d3,"[0, 0, 0]",1,0.0,500,420,380,103,97,MLP,100,196,0.98,"(99, 3)",53,69,0.5353535353535354,0.696969696969697,0.5353535353535354,1.1862765390355632,1.24003689075416,1.6984303289989255,0.6767676767676768
dc6a0a46-3353-418e-b34b-ce2eb49a40d1,"[0, 0, 0]",0.75,0.0,500,420,380,103,97,MLP,100,196,0.98,"(99, 3)",47,69,0.47474747474747475,0.696969696969697,0.46464646464646464,1.1198871343032173,1.1279824874971225,1.6738356669311938,0.6868686868686869
2efe3fcb-c9ff-4720-af8b-e277c9a0b1c1,"[0, 0, 0]",0.5,0.0,500,420,380,103,97,MLP,100,196,0.98,"(99, 3)",46,69,0.46464646464646464,0.696969696969697,0.42424242424242425,0.9727760876218478,0.99779336083503,1.4832802067200344,0.6161616161616161
76b447e4-c08d-487d-98c9-2c81224374b4,"[0, 0, 0]",0.25,0.0,500,420,380,103,97,MLP,100,196,0.98,"(99, 3)",37,63,0.37373737373737376,0.6363636363636364,0.29292929292929293,0.7628918398043205,1.0295753956868732,1.4460991071215992,0.45454545454545453
3af60a03-7849-4788-bc4e-241c363f82af,"[0, 0, 0]",0.1,0.0,500,420,380,103,97,MLP,100,196,0.98,"(99, 3)",20,39,0.20202020202020202,0.3939393939393939,0.1414141414141414,0.29961431505424635,0.5593929030001163,0.6914666523890836,0.24242424242424243
771a0f3a-a996-4a6b-9398-3c79ba0ab01e,"[0, 0, 0]",0.01,0.0,500,420,380,103,97,MLP,100,196,0.98,"(99, 3)",6,20,0.06060606060606061,0.20202020202020202,0.020202020202020204,0.1452147662639618,0.3816608488559723,0.5305997878313065,0.06060606060606061
