theta_1,theta_2,theta_3
0.723186291442638,0.2117948267168703,0.5544972256810541
0.6818516967105975,0.35888291455364696,0.0711851869150384
0.6859222878201208,-0.3223620883349186,0.6282260824449006
0.7244537596840819,0.11614135392897947,0.4234252355375932
0.6559606480748529,0.1402608455838537,0.38761176948469295
0.7515633496505713,0.7540843289757936,0.12056529671968068
0.5658872723077717,0.26673653346361487,0.5651545865490717
0.7341940196887339,0.10999504960105064,0.6492166114574647
0.6865840247736925,0.3202100161690659,0.18117493427814096
0.6145715518315009,-0.17902212048794466,0.2975146512668279
