theta_1,theta_2,theta_3
-0.3750391614752185,0.0646979216155493,0.15469788404830165
-0.7312972253875305,-0.36534524640778454,0.04630773584486881
0.43397465103716787,-0.47027844256108325,-0.08089001159631626
-0.48715351075142044,-0.11803083504991291,0.058273391071763665
-0.6998024457488867,-0.24832032845722005,0.07386212928668508
-0.7538839796025549,-0.14414096702569815,0.17959319403676416
-0.07372704282747419,-0.10579267761844346,0.23479374029763395
-0.7388821131294863,-0.11833703228674503,0.16356426016895187
-0.7180995890077855,-0.19470703555474952,0.28208794555650035
-0.5182000775758716,-0.41475880300774043,0.20021774721526253
