theta_1,theta_2,theta_3
-0.7128442479770961,-0.10933628632512267,0.1475461817857483
-0.6881983627434726,-0.29002198303667526,0.20031446947327133
-0.5773491628572297,-0.27563076183847685,0.1581010690900055
-0.6791746919689803,-0.45459834818967043,-0.021606313636723357
0.37991411170327805,-0.3956090260347435,-0.03267312628421502
-0.03554604110168293,0.0025653298056376632,-0.036139530013667855
-0.6292213747662515,-0.2631283978575717,0.12856271073680128
-0.4585912954759947,-0.3106319565948251,-0.17595283209411136
-0.04064951715877292,0.00938189462648836,0.22401041128491028
-0.07566960114272708,-0.021473635892538253,-0.11016344622372115
