theta_1,theta_2,theta_3
-0.6674771306652477,-0.2060107206699302,0.011794465408722497
0.014113946439419971,-0.0043942344943391776,0.0075090916823665685
0.02166190589183058,-0.05679784526126241,0.07182809092221237
-0.03193257775830209,0.05913573878442338,-0.041844300112053874
0.011827196466801339,-0.021918982079355023,0.024259679163924575
-0.643039686639457,-0.3335387430864024,0.09232774800802808
-0.07496984097528199,0.02964390020213959,-0.26047154587510796
-0.11260136641495283,0.007726563235881815,0.06697921112936507
0.060794501445884656,-0.03424262457526035,0.046203426120412075
-0.211381871082078,-0.1161115796612994,0.09080639143935675
