theta_1,theta_2,theta_3
-0.48637574717453817,-0.44035877344398233,0.06788190253274466
-0.32701302105625558,-0.1630748415456518,0.04594694701774254
-0.562123626343395,-0.37314611349679405,-0.0011351289899442917
-0.4578011976869392,-0.16774389146610852,0.17198004065312644
-0.39895548129244588,-0.06409086054678204,0.12672659862801053
-0.618224182006186,-0.10734430155104017,0.21150188482889087
-0.4940738968451377,-0.06267281482005971,-0.05187733043249074
-0.51079983193900715,-0.011820907255757789,-0.009024398702765913
-0.42106316595208295,-0.3396102837891464,0.15411853806672762
-0.5115729427494184,-0.2036643677237656,0.13660944056701574
