theta_1,theta_2,theta_3
-0.6886815209827168,-0.08099914434740017,0.053487951425769814
-0.0012147010670660338,-0.029270701324135433,-0.00704433659050071
-0.011109561248891946,-0.015461676563119846,0.12829641420356588
0.022575323065979536,-0.1172419536063283,0.04033872039782528
-0.601917500122824,-0.16962661200315074,0.10239462186594835
0.034280349495184756,-0.0787583151122415,0.042678286678470706
-0.020918472430605146,-0.11664546660875368,0.10252694607617427
-0.024429946430108748,-0.04337374470210795,0.08922841453009524
-0.020052275864930313,-0.003259414916113908,0.04122908603250733
-0.3068604460463556,-0.28477377523947695,0.11488686712249516
