theta_1,theta_2,theta_3
-0.03663391322221798,-0.11748356504383105,-0.013397824459796091
0.293661723089364,-0.10564085650207382,-0.05944384381502185
0.7309110944416561,-0.040256378422994274,0.18031313564678922
-0.008737465979837359,-0.01468807598836591,-0.12200302859822747
-0.26054145603942286,-0.2251838282477956,0.2904560468973357
-0.5607871277002534,-0.37760093407789413,0.21294006432715715
0.12182321370963216,-0.10452868112431518,-0.011102670889403737
-0.2401383203003572,-0.08229825518029138,0.35760198684274186
0.12469424870946666,-0.1146339280136851,-0.045508452072217036
-0.4246678439843418,-0.3169554279776777,0.2047788103268453
