theta_1,theta_2,theta_3
0.6330992981180769,-0.38128196603680875,0.20249650143752976
-0.018328980834387873,-0.27923728155182376,0.09125613635790024
-0.4499444575115448,-0.20113210015677252,-0.09842506977313664
0.027181815037075997,-0.3651540238807173,0.2693578289234346
0.10445752159180396,-0.20813307068167652,0.2658782361697429
0.36433636647773954,-0.15996814473183432,-0.07235285482736933
0.04565296166792346,-0.0933575039990867,0.2334252774645241
0.13278853570170626,0.023359059090048102,-0.18182775402840395
-0.01396365696595866,-0.15383998218915793,0.2737408829880534
0.4693152833616733,-0.20966003386065388,0.18316945761820055
